,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,filename,number_of_faces,genders,anmerkungen,path_0,path_1,path_2,path_3,genders_0,genders_1,genders_2,genders_3
0,0,0,0,0,0,0,0,0,0,0,0,1034303003_f3eefc4619_1289_82791675@N00.jpg,4,fffm,,/home/butti/PycharmProjects/cov_project/data/Fam4a_used_out/mode_0/correct_number_of_faces/1034303003_f3eefc4619_1289_82791675@N00.jpg,/home/butti/PycharmProjects/cov_project/data/Fam4a_used_out/mode_1/correct_number_of_faces/1034303003_f3eefc4619_1289_82791675@N00.jpg,/home/butti/PycharmProjects/cov_project/data/Fam4a_used_out/mode_2/correct_number_of_faces/1034303003_f3eefc4619_1289_82791675@N00.jpg,/home/butti/PycharmProjects/cov_project/data/Fam4a_used_out/mode_3/correct_number_of_faces/1034303003_f3eefc4619_1289_82791675@N00.jpg,fffm,mfmm,fffm,fffm
1,1,1,1,1,1,1,1,1,1,1,1,1055315392_69d23a751c_1047_8441726@N05.jpg,6,mffffm,,/home/butti/PycharmProjects/cov_project/data/Fam4a_used_out/mode_0/wrong_number_of_faces/1055315392_69d23a751c_1047_8441726@N05.jpg,/home/butti/PycharmProjects/cov_project/data/Fam4a_used_out/mode_1/wrong_number_of_faces/1055315392_69d23a751c_1047_8441726@N05.jpg,/home/butti/PycharmProjects/cov_project/data/Fam4a_used_out/mode_2/wrong_number_of_faces/1055315392_69d23a751c_1047_8441726@N05.jpg,/home/butti/PycharmProjects/cov_project/data/Fam4a_used_out/mode_3/correct_number_of_faces/1055315392_69d23a751c_1047_8441726@N05.jpg,,,,mfmmmm
2,2,2,2,2,2,2,2,2,2,2,2,1105895385_1366d869e0_1224_11049069@N05.jpg,6,mmffmf,,/home/butti/PycharmProjects/cov_project/data/Fam4a_used_out/mode_0/wrong_number_of_faces/1105895385_1366d869e0_1224_11049069@N05.jpg,/home/butti/PycharmProjects/cov_project/data/Fam4a_used_out/mode_1/wrong_number_of_faces/1105895385_1366d869e0_1224_11049069@N05.jpg,/home/butti/PycharmProjects/cov_project/data/Fam4a_used_out/mode_2/correct_number_of_faces/1105895385_1366d869e0_1224_11049069@N05.jpg,/home/butti/PycharmProjects/cov_project/data/Fam4a_used_out/mode_3/correct_number_of_faces/1105895385_1366d869e0_1224_11049069@N05.jpg,,,mfffff,ffmfff
3,3,3,3,3,3,3,3,3,3,3,3,1174861040_d7f3b36e2d_1293_83131204@N00.jpg,7,fffffff,,/home/butti/PycharmProjects/cov_project/data/Fam4a_used_out/mode_0/wrong_number_of_faces/1174861040_d7f3b36e2d_1293_83131204@N00.jpg,/home/butti/PycharmProjects/cov_project/data/Fam4a_used_out/mode_1/wrong_number_of_faces/1174861040_d7f3b36e2d_1293_83131204@N00.jpg,/home/butti/PycharmProjects/cov_project/data/Fam4a_used_out/mode_2/correct_number_of_faces/1174861040_d7f3b36e2d_1293_83131204@N00.jpg,/home/butti/PycharmProjects/cov_project/data/Fam4a_used_out/mode_3/correct_number_of_faces/1174861040_d7f3b36e2d_1293_83131204@N00.jpg,,,ffffmff,fffffmf
4,4,4,4,4,4,4,4,4,4,4,4,1200376418_767a453e24_1365_46042146@N00.jpg,5,mmmmf,,/home/butti/PycharmProjects/cov_project/data/Fam4a_used_out/mode_0/wrong_number_of_faces/1200376418_767a453e24_1365_46042146@N00.jpg,/home/butti/PycharmProjects/cov_project/data/Fam4a_used_out/mode_1/correct_number_of_faces/1200376418_767a453e24_1365_46042146@N00.jpg,/home/butti/PycharmProjects/cov_project/data/Fam4a_used_out/mode_2/correct_number_of_faces/1200376418_767a453e24_1365_46042146@N00.jpg,/home/butti/PycharmProjects/cov_project/data/Fam4a_used_out/mode_3/correct_number_of_faces/1200376418_767a453e24_1365_46042146@N00.jpg,,mmmmf,mmfmf,mmfmf
5,5,5,5,5,5,5,5,5,5,5,5,1207353522_b7f2f83c11_1021_67011721@N00.jpg,4,mmff,,/home/butti/PycharmProjects/cov_project/data/Fam4a_used_out/mode_0/correct_number_of_faces/1207353522_b7f2f83c11_1021_67011721@N00.jpg,/home/butti/PycharmProjects/cov_project/data/Fam4a_used_out/mode_1/correct_number_of_faces/1207353522_b7f2f83c11_1021_67011721@N00.jpg,/home/butti/PycharmProjects/cov_project/data/Fam4a_used_out/mode_2/correct_number_of_faces/1207353522_b7f2f83c11_1021_67011721@N00.jpg,/home/butti/PycharmProjects/cov_project/data/Fam4a_used_out/mode_3/correct_number_of_faces/1207353522_b7f2f83c11_1021_67011721@N00.jpg,mmmm,fmmm,mmfm,mmfm
6,6,6,6,6,6,6,6,6,6,6,6,1211916745_45c0a891e1_1027_73995592@N00.jpg,4,mmfm,,/home/butti/PycharmProjects/cov_project/data/Fam4a_used_out/mode_0/correct_number_of_faces/1211916745_45c0a891e1_1027_73995592@N00.jpg,/home/butti/PycharmProjects/cov_project/data/Fam4a_used_out/mode_1/wrong_number_of_faces/1211916745_45c0a891e1_1027_73995592@N00.jpg,/home/butti/PycharmProjects/cov_project/data/Fam4a_used_out/mode_2/correct_number_of_faces/1211916745_45c0a891e1_1027_73995592@N00.jpg,/home/butti/PycharmProjects/cov_project/data/Fam4a_used_out/mode_3/correct_number_of_faces/1211916745_45c0a891e1_1027_73995592@N00.jpg,mmmm,,mmmf,mmmf
7,7,7,7,7,7,7,7,7,7,7,7,1213947813_393bf4cb5a_1163_12048986@N08.jpg,4,fmmf,,/home/butti/PycharmProjects/cov_project/data/Fam4a_used_out/mode_0/correct_number_of_faces/1213947813_393bf4cb5a_1163_12048986@N08.jpg,/home/butti/PycharmProjects/cov_project/data/Fam4a_used_out/mode_1/wrong_number_of_faces/1213947813_393bf4cb5a_1163_12048986@N08.jpg,/home/butti/PycharmProjects/cov_project/data/Fam4a_used_out/mode_2/correct_number_of_faces/1213947813_393bf4cb5a_1163_12048986@N08.jpg,/home/butti/PycharmProjects/cov_project/data/Fam4a_used_out/mode_3/correct_number_of_faces/1213947813_393bf4cb5a_1163_12048986@N08.jpg,ffff,,fmmf,fmmf
8,8,8,8,8,8,8,8,8,8,8,8,1229611814_da11458c1f_1088_74075822@N00.jpg,4,mmfm,,/home/butti/PycharmProjects/cov_project/data/Fam4a_used_out/mode_0/correct_number_of_faces/1229611814_da11458c1f_1088_74075822@N00.jpg,/home/butti/PycharmProjects/cov_project/data/Fam4a_used_out/mode_1/correct_number_of_faces/1229611814_da11458c1f_1088_74075822@N00.jpg,/home/butti/PycharmProjects/cov_project/data/Fam4a_used_out/mode_2/correct_number_of_faces/1229611814_da11458c1f_1088_74075822@N00.jpg,/home/butti/PycharmProjects/cov_project/data/Fam4a_used_out/mode_3/correct_number_of_faces/1229611814_da11458c1f_1088_74075822@N00.jpg,mmfm,mfmm,mfff,mmff
9,9,9,9,9,9,9,9,9,9,9,9,1255085699_01dc9b02e0_1403_39243191@N00.jpg,4,fffm,,/home/butti/PycharmProjects/cov_project/data/Fam4a_used_out/mode_0/correct_number_of_faces/1255085699_01dc9b02e0_1403_39243191@N00.jpg,/home/butti/PycharmProjects/cov_project/data/Fam4a_used_out/mode_1/correct_number_of_faces/1255085699_01dc9b02e0_1403_39243191@N00.jpg,/home/butti/PycharmProjects/cov_project/data/Fam4a_used_out/mode_2/correct_number_of_faces/1255085699_01dc9b02e0_1403_39243191@N00.jpg,/home/butti/PycharmProjects/cov_project/data/Fam4a_used_out/mode_3/correct_number_of_faces/1255085699_01dc9b02e0_1403_39243191@N00.jpg,mffm,ffff,fmfm,fffm
